Price,Close,High,Low,Open,Volume,Date
2010-01-04,242.36691284179688,245.88242132874697,230.2767497854486,245.88242132874697,76646086.0,
2010-01-05,241.2852325439453,259.133191518649,240.09086669929133,259.133191518649,21392825.0,
2010-01-06,245.1838531494141,246.64864972881824,241.27397316472096,243.3584873237944,23691760.0,
2010-01-07,249.2514495849609,251.26835974219296,242.93030347286648,245.1838423585957,26197920.0,
2010-01-08,248.59793090820312,250.99794494050107,246.9866592493332,249.69089087809576,15110149.0,
2010-01-11,243.7190399169922,259.0881130670168,236.6204339682252,255.70779729904984,188649642.0,
2010-01-12,244.3613128662109,256.29374971553995,242.7049718387805,246.76132703617725,32790509.0,
2010-01-13,245.3190460205078,246.0852386984643,240.8119833685951,245.1838382026005,15360176.0,
2010-01-14,252.7782440185547,253.4768177657705,244.7331379166872,244.7331379166872,24545629.0,
2010-01-15,250.31060791015625,256.6542886669084,249.0261035303556,253.7021609966316,18766617.0,
2010-01-18,247.77540588378903,251.59513218490773,246.07398060541013,249.4655488004377,14172193.0,
2010-01-19,244.50778198242188,249.2514432320248,243.97818794717617,247.8880676601358,13064666.0,
2010-01-20,242.8176422119141,247.23456661029903,241.5782070462672,246.7613241732168,19331024.0,
2010-01-21,237.5331115722656,242.704961213909,236.676780320028,242.25425342913445,18611321.0,
2010-01-22,237.488037109375,241.3528476295664,232.000702668483,234.59226109195367,39869565.0,
2010-01-25,234.8288726806641,237.61197549030592,233.62323954761712,236.5415501755861,13393277.0,
2010-01-27,231.561279296875,236.6204560158527,229.85986897943127,233.0148085935513,24843485.0,
2010-01-28,233.7246551513672,235.82043659536865,230.98662150039897,234.366907358334,33223459.0,
2010-01-29,235.7640991210937,237.0260688929849,229.4316855380973,232.76690210891604,23333042.0,
2010-02-01,235.5838165283203,237.74720182575936,233.36407959593976,233.80352005507245,12132865.0,
2010-02-02,231.5049285888672,238.05142111967928,230.7837901224772,237.0711343291936,17248998.0,
2010-02-03,233.0035095214844,236.25985456397268,232.36124233254083,232.36124233254083,15052266.0,
2010-02-04,229.6682891845703,233.9161884642353,228.5077253310289,233.9161884642353,11974603.0,
2010-02-05,221.2288360595703,227.0992745138697,219.71898528368592,219.71898528368592,29882876.0,
2010-02-08,224.0795440673828,226.33306781647684,219.71897170166733,221.97249545076136,25894932.0,
2010-02-09,223.83164978027344,224.90207507377428,221.4541855158897,223.9443229599792,14292031.0,
2010-02-10,221.9950408935547,225.3302574080288,221.296437064534,225.3302574080288,18261247.0,
2010-02-11,228.7668914794922,229.81478216452007,222.76123032597292,222.9302551431104,23450102.0,
2010-02-15,227.60630798339844,231.4373164618226,227.06546167438128,231.4373164618226,13498617.0,
2010-02-16,229.35281372070312,230.0852044723664,226.47955722071472,227.62885380345048,10068256.0,
2010-02-17,232.68801879882807,233.87111727895044,230.32182183858345,230.98660864588143,15630122.0,
2010-02-18,224.8570098876953,233.99507570454256,224.2260250267296,232.11337339667227,19834114.0,
2010-02-19,221.56686401367188,224.2260263342937,220.2034733770637,224.2260263342937,17754534.0,
2010-02-22,220.3837738037109,225.35279672328747,218.5922099633905,224.2936386824857,12692045.0,
2010-02-23,219.7978515625,221.52179639570028,218.59220337225847,219.4936189245712,12976934.0,
2010-02-24,220.5753173828125,222.13025248211144,217.83728374189343,218.59220913272412,12487589.0,
2010-02-25,217.0372467041016,221.97248207063345,216.147113601891,220.8682548984124,18954063.0,
2010-02-26,220.609115600586,224.22603011904147,217.7471415033181,218.36685906018272,22579233.0,
