Day,Price
Day-5,1456.800048828125
Day-4,1450.800048828125
Day-3,1467.300048828125
Day-2,1495.300048828125
Day-1,1515.4000244140625
Day+1,1475.669677734375
Day+2,1482.188232421875
Day+3,1484.1983642578125
Day+4,1483.46875
Day+5,1481.0216064453125
